[2026-08-09T10:21:25.603914-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:21:32.230265-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:21:38.380596-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:21:38.783123-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:21:39.178162-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:21:39.559712-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:21:39.935699-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:21:40.326068-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:21:40.708430-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:21:42.566648-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:21:42.967349-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:21:43.383976-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:21:43.767183-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:21:44.153908-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:21:59.275768-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:22:06.377807-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
